No,KSP,KPR,PRD,RVT,RCM,Y
418,2,3.5,8.666666667,7.166666667,9.5,9
419,7.666666667,3.75,8.666666667,7.666666667,9,10
420,9.333333333,5.25,5.333333333,7.333333333,5,10
421,6.333333333,6.5,6,6.666666667,3.5,5
422,10,5.25,8.333333333,9,7.5,10
423,6,3.5,5,4.833333333,5.5,10
424,7,1.25,5.333333333,4.833333333,7,6
425,7.333333333,7,7,6.333333333,6,7
426,2,0.5,2,4,5,6
427,5.666666667,4.5,6,5.333333333,4.5,7
428,5.666666667,0,5.333333333,3.5,5,7
429,10,8.75,10,10,10,10
430,5.666666667,2.75,3.666666667,3.833333333,2.5,7
431,8.666666667,3.75,6,6.5,6.5,8
432,5,5,8.333333333,6,6.5,9
433,7.666666667,4.75,5,5.166666667,4,10
434,7,4.75,5.333333333,5.333333333,7,9
435,10,3,2.333333333,1.666666667,0,10
436,9.333333333,6.5,7,7.5,7,10
437,5,3,2.333333333,2.333333333,2.5,5
438,3.333333333,2.75,4,6.833333333,6,10
439,0,3.75,5,4.666666667,5,6
440,7.333333333,6.25,6.666666667,7.5,7,8
441,7,7,7,7,7,10
442,1.333333333,1.75,1.333333333,1.833333333,2.5,2
443,7.333333333,3.25,6,5.333333333,6.5,9
444,5.333333333,0.5,3.333333333,5,4.5,7
445,10,3.25,7,5,5,10
446,4.666666667,5.25,4.333333333,5.166666667,4,4
447,10,1.25,4.666666667,5.333333333,5,10
448,8.666666667,9,8,8.833333333,8,10
449,10,2,0,9.166666667,4.5,10
450,6.333333333,2,5,4.333333333,6.5,7
451,5.666666667,4.5,6,5.666666667,6,8
452,7,5.25,5,5.5,5,7
453,9.666666667,9.75,9,9.333333333,9.5,10
454,9.666666667,2.25,4.333333333,4.333333333,6.5,10
455,10,10,10,5.333333333,6,10
456,6.666666667,3.25,3,4.666666667,5.5,10
457,9,3.5,5.666666667,9,5.5,10
458,5.666666667,5.75,6.333333333,6.666666667,6,6
459,5.333333333,5,5,5.666666667,5,7
460,5.666666667,3.5,5,4.833333333,4.5,7
461,7.666666667,0.5,2,6.333333333,4,9
462,10,3.75,5,5.833333333,6,10
463,6.333333333,5,6.333333333,5.333333333,5,6
464,5.333333333,0,0.666666667,5.666666667,3.5,9
465,10,10,10,9.333333333,9.5,10
466,6.666666667,6.75,7,6.833333333,7.5,10
467,7.666666667,6,6.666666667,6.5,7.5,7
468,3,0,0,2.833333333,3,8
469,8.333333333,4.25,4,3.666666667,4,10
470,6,2,4,2,5,8
471,8,4,4,4.833333333,5,7
472,4.333333333,4.75,4.333333333,5.166666667,5.5,5
473,6.333333333,3,4.333333333,6.5,4.5,7
474,5,6,4.666666667,5,6.5,8
475,9.333333333,9.5,9.666666667,7,10,10
476,6.333333333,6.25,6,7.166666667,7,3
477,8.666666667,1.5,3.333333333,6.166666667,2.5,7
478,5.666666667,2,2,4.666666667,3.5,6
479,7.333333333,3.25,7,3.666666667,3,9
480,6,3.5,7.666666667,7.166666667,6.5,6
481,4,2.25,3.333333333,6.166666667,6,9
482,6,6,8.666666667,7.333333333,3,1
483,9,0,3,2,1,10
484,8.333333333,2.5,7.666666667,2.833333333,5,10
485,2.666666667,6.5,5,4.333333333,5,1
486,7.333333333,5.75,6.333333333,6,6.5,7
487,5.666666667,1.25,5,5.5,4,8
488,3.333333333,3.75,5,3.333333333,5,10
489,7.333333333,5.5,6.666666667,6.5,7,7
490,10,10,10,10,10,10
491,10,10,10,10,10,10
492,8.333333333,7.5,6.666666667,6.833333333,7.5,9
493,10,10,9.333333333,5.166666667,8,10
494,7,0,3.333333333,6.833333333,3,10
495,5,1.25,5,4.166666667,5,10
496,5.666666667,5,5,4.5,5,6
497,7,2.75,7,5.5,7,8
498,5.666666667,6,6,5.833333333,6,6
499,8.666666667,7.5,10,8,8,10
500,8,5.5,5.333333333,5.5,5.5,8
501,5,6,5.333333333,5.5,5.5,7
502,6.333333333,3.5,5,6.166666667,4.5,8
503,8,5,6.666666667,5,5,8
504,6.666666667,0,0,5,5,10
505,7.333333333,6.5,7.666666667,6.166666667,9,9
506,5.666666667,3,3,3.333333333,4,7
507,8.666666667,2.5,5.333333333,4.666666667,6.5,6
508,10,10,10,5.333333333,5,10
509,8,7,6.666666667,8,7.5,8
510,8,4.25,6.666666667,5,4,8
511,9.333333333,0.25,3.333333333,3,4.5,10
512,10,3.75,5,5,5,10
513,7,7,7,5,5,7
514,4.666666667,5.75,6,5.333333333,5,8
515,5,3.75,5,6,5.5,0
516,7,7,7,7,7,7
517,9.666666667,6,7.333333333,7.666666667,7,8
518,7.666666667,4.5,5.333333333,5.5,4,8
519,5,3.75,5,5,5,8
520,8.333333333,8.25,7.666666667,8.166666667,8,10
521,8,1,2,5.5,4.5,8
522,6.666666667,7.25,7,6.5,7,7
523,6,8.25,8.333333333,8.333333333,9,9
524,0,0.75,3,2.166666667,2.5,8
525,7,3,6,5.666666667,4.5,8
526,5,3,3.333333333,4,4.5,2
527,5,2,7.666666667,7.333333333,7.5,7
528,10,6.75,10,6.333333333,6,10
529,10,10,10,10,10,10
530,7,4.25,5.666666667,7,5,8
531,7,3,4,5.833333333,5,8
532,10,3,4.333333333,6,2.5,10
533,6,5.25,7,8,7,6
534,6,5,7,6.333333333,6.5,7
535,8,8.25,8.666666667,7.666666667,8,3
536,10,10,10,10,10,10
537,8,5.25,8,7.5,9,9
538,10,7.5,10,9.333333333,10,10
539,10,2.5,5.666666667,7,7,10
540,3.333333333,0,1.666666667,1.333333333,5,7
541,3.333333333,0.25,0,1.666666667,0,10
542,6.333333333,8.25,9.333333333,8.5,7.5,10
543,3.333333333,4.5,6.666666667,4.666666667,6,10
544,8.333333333,2.5,7.333333333,3.333333333,3,6
545,0,0,0,0,0,0
546,6,5,6.333333333,5.333333333,6.5,8
547,6,5.5,6.333333333,6,5.5,8
548,6.333333333,3.75,6.333333333,5.333333333,5,7
549,7.333333333,4,5,5,4.5,7
550,6.666666667,7.5,10,3.666666667,7.5,10
551,6,6.5,9.333333333,7.5,6.5,10
552,7,5.75,6,6,6,7
553,6.333333333,0,4,5,5,8
554,9.333333333,7.25,6.666666667,8.833333333,7.5,10
555,7,4.5,6,6,7,8
556,6.666666667,4.5,2,5.666666667,6,10
557,9.333333333,5.25,9.666666667,6.166666667,6.5,10
558,10,10,10,10,10,10
559,0,0,0,0,0,0
560,5,2.75,3.333333333,8.833333333,4.5,10
561,8.333333333,5.25,8,5.333333333,6.5,10
562,4.333333333,4,4.666666667,6.166666667,8,7
563,5.666666667,2.5,3.666666667,2.666666667,4,7
564,8.666666667,8.5,8.666666667,8.5,9.5,10
565,8.666666667,0.75,1.666666667,4.166666667,5,10
566,5,5,5,5,5,5
567,6,2.5,4.666666667,6,4.5,6
568,3.333333333,0,0,3.166666667,2.5,10
569,9.666666667,9.25,8.666666667,8.5,9.5,9
570,8.333333333,5,5.333333333,6,5,10
571,6.666666667,3.75,5,1.666666667,2.5,10
572,6.333333333,6.75,6,6.833333333,5.5,8
573,10,3.75,5,4,5,10
574,5.333333333,5,5.333333333,6.333333333,6,7
575,8,5,6.333333333,3.833333333,6,10
576,4,0.25,0,7.166666667,3.5,10
577,10,0,2,7.666666667,6.5,10
578,9,5,5.333333333,7,7,10
579,3.333333333,0,0,5.666666667,2.5,10
580,0,2.25,4,4.5,2.5,10
581,8,6.5,8.333333333,3.666666667,7,10
582,4.666666667,4.75,7,5.833333333,3,10
583,6.666666667,8.25,6.666666667,6.666666667,7,9
584,7.333333333,7,6,5.666666667,7,8
585,9,0,1.333333333,6.166666667,5,10
586,9,2.25,10,6.5,5.5,7
587,10,10,10,10,10,10
588,5.666666667,3,5.666666667,3,2,7
589,10,6.25,5,10,10,10
590,10,10,10,10,10,10
591,8,4,7.333333333,6.666666667,5.5,8
592,6.666666667,5,5,3.833333333,5,10
593,5.666666667,4.5,5,4.5,4,6
594,9,0,0,4.833333333,2,10
595,7,0.75,8,1.833333333,3,10
596,8.666666667,5.75,7.333333333,6.166666667,5,9
597,7.333333333,9.25,9.666666667,9.5,9.5,10
598,6,3,4.666666667,4.833333333,4,7
599,3.666666667,0.75,6,5.333333333,5,10
600,5.333333333,0,0,4.5,2.5,7
601,10,10,10,10,10,10
602,6,6.25,3,3,3,10
603,6.666666667,7.25,8,5,5.5,10
604,8.666666667,3.5,6,6.5,6.5,9
605,6,0.5,2,4,3,8
606,8,8,8,7,7.5,8
607,3.666666667,0.25,2.333333333,5,4,8
608,5.333333333,4,8.333333333,9.5,8,10
609,5,5,5,5,5,8
610,3,3.25,5,2.166666667,3.5,7
611,10,10,10,10,10,10
612,6.333333333,0.75,0.666666667,1,2.5,10
613,9,0.25,1.333333333,7.333333333,5,10
614,5,0,2.333333333,2.166666667,1,6
615,9.333333333,3,7,5.166666667,5.5,9
616,10,10,10,10,10,10
617,6,2,3,6.166666667,6.5,9
